File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
fd78f87b-caac-4276-b321-56f673cb9016	b4f54395-e237-4b10-b688-433b138facff.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4787	TCGA-BP-4787-01A	Primary Tumor
6c58735a-e44f-4163-8850-cba0a64676be	SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_A11_697524.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-BP-4769	TCGA-BP-4769-11A	Solid Tissue Normal
99bc285b-37db-4059-802a-958d83090224	SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C04_680062.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-B2-3924	TCGA-B2-3924-01A	Primary Tumor
01b2adc9-d498-42cb-8683-343868a84950	jhu-usc.edu_KIRC.HumanMethylation450.3.lvl-3.TCGA-BP-5187-01A-01D-1424-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-BP-5187	TCGA-BP-5187-01A	Primary Tumor
5e99402e-bbc4-4cfd-9518-ce426da807d6	SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_D02_748492.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-CJ-5677	TCGA-CJ-5677-01A	Primary Tumor
a4ccd2d4-33ef-42d1-b2b3-7436ebad0c05	NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-B0-5094	TCGA-B0-5094-11A	Solid Tissue Normal
f49604b6-3f1e-4773-bc2f-f226f6f14d0c	d3823e63-64df-4a9a-920b-3323d3119db0.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5467	TCGA-CZ-5467-01A	Primary Tumor
9c3d259e-be17-4dac-912c-f48ce6c4ef78	REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_B10_697778.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-BP-4803	TCGA-BP-4803-01A	Primary Tumor
4737e772-6564-4257-bd0a-bd1fc6cf0ad3	REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F07_697648.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-CJ-4872	TCGA-CJ-4872-01A	Primary Tumor
8cb95e28-b994-4b8c-aa15-9a97691a96f1	f59733cc-e2d4-497c-84a0-5ab4fdc47a4e.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4347	TCGA-BP-4347-01A	Primary Tumor
050874c3-8eb4-4f88-ba18-58294bd7ede1	d6abf193-8596-442a-a391-1821c0d6587e.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-B0-5696	TCGA-B0-5696-11A	Solid Tissue Normal
5dc8dbbe-24d1-4bef-beef-027d95bb3a53	NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_D01_730614.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-A3-3385	TCGA-A3-3385-01A	Primary Tumor
816fa6bd-9e0d-456c-8aba-2c922e1f5665	4d813387-15db-4d2f-bf85-1c79874aa179.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5464	TCGA-CZ-5464-01A	Primary Tumor
2a4378da-85ae-4dba-9246-104ab18d1be2	8e2e6b91-b5d6-4d21-a2c9-4ce9d48307ed.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5701	TCGA-B0-5701-01A	Primary Tumor
c9bcdcf0-6e22-4b0f-95f4-e3b983e51988	57be3f81-6dbb-4257-a4b5-f823e30d76bf.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4162	TCGA-BP-4162-01A	Primary Tumor
26315240-b1bd-4a15-8e07-43b6aab822bd	dcc0b93e-257f-48ce-b052-4de18db8d3ff.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B4-5844	TCGA-B4-5844-01A	Primary Tumor
700fdcea-b6db-4c78-837a-e07ce1d42406	SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B04_697424.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-BP-4343	TCGA-BP-4343-01A	Primary Tumor
c9417b65-26b2-465a-b2a4-799a6e4013e7	SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_H02_697530.nocnv_grch38.seg.v2.txt	Copy Number Variation	Masked Copy Number Segment	TCGA-KIRC	TCGA-BP-4334	TCGA-BP-4334-11A	Solid Tissue Normal
a6cfeca0-4483-4a35-b1bd-30f4e28809c4	NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B03_697970.grch38.seg.v2.txt	Copy Number Variation	Copy Number Segment	TCGA-KIRC	TCGA-BP-4981	TCGA-BP-4981-01A	Primary Tumor
